	ABC.id
65683	chr1:62054291-62054791_TM2D1
65682	chr1:62054291-62054791_NFIA
65684	chr1:62054291-62054791_USP1
64636	chr1:64140010-64140510_ALG6
64640	chr1:64140010-64140510_EFCAB7
64639	chr1:64140010-64140510_ITGB3BP
64638	chr1:64140010-64140510_ATG4C
64637	chr1:64140010-64140510_DOCK7
20459	chr1:65548914-65549414_LEPROT
20456	chr1:65548914-65549414_AK4
20448	chr1:65701519-65702019_RAVER2
20445	chr1:65701519-65702019_JAK1
20454	chr1:65701519-65702019_LEPR
20457	chr1:65701519-65702019_AK4
20460	chr1:65701519-65702019_LEPROT
20458	chr1:66153345-66153845_AK4
20452	chr1:66153345-66153845_DNAJC6
20455	chr1:66153345-66153845_LEPR
20449	chr1:66153345-66153845_RAVER2
63243	chr1:67897382-67898315_SERBP1
63251	chr1:67897382-67898315_DIRAS3
63259	chr1:67897382-67898315_GNG12
63267	chr1:67897382-67898315_MIER1
63235	chr1:67897382-67898315_GADD45A
63227	chr1:67897382-67898315_SLC35D1
63252	chr1:67944867-67945367_DIRAS3
63228	chr1:67944867-67945367_SLC35D1
63244	chr1:67944867-67945367_SERBP1
63245	chr1:68004974-68005474_DIRAS3
63215	chr1:68004974-68005474_DEPDC1
63261	chr1:68004974-68005474_MIER1
63240	chr1:68036025-68036525_SERBP1
63232	chr1:68036025-68036525_GADD45A
63256	chr1:68036025-68036525_GNG12
63224	chr1:68036025-68036525_SLC35D1
63248	chr1:68036025-68036525_DIRAS3
63264	chr1:68036025-68036525_MIER1
63216	chr1:68055218-68055718_DEPDC1
63246	chr1:68055218-68055718_DIRAS3
63222	chr1:68055218-68055718_SLC35D1
63262	chr1:68055218-68055718_MIER1
63249	chr1:68112284-68112784_DIRAS3
63257	chr1:68112284-68112784_GNG12
63241	chr1:68112284-68112784_SERBP1
63225	chr1:68112284-68112784_SLC35D1
63239	chr1:68148172-68148672_SERBP1
63247	chr1:68148172-68148672_DIRAS3
63263	chr1:68148172-68148672_MIER1
63231	chr1:68148172-68148672_GADD45A
63226	chr1:68160723-68161223_SLC35D1
63258	chr1:68160723-68161223_GNG12
63242	chr1:68160723-68161223_SERBP1
63250	chr1:68160723-68161223_DIRAS3
63266	chr1:68160723-68161223_MIER1
63630	chr1:70005683-70006183_CTH
63633	chr1:70005683-70006183_ANKRD13C
63637	chr1:70005683-70006183_HHLA3
63627	chr1:70005683-70006183_SRSF11
63631	chr1:70017215-70017715_CTH
63623	chr1:71141431-71141931_LRRC40
63622	chr1:71141431-71141931_PTGER3
63635	chr1:71141431-71141931_ZRANB2
63632	chr1:71141431-71141931_ANKRD13C
63636	chr1:71141431-71141931_HHLA3
20518	chr1:75237548-75238048_CRYZ
20516	chr1:75237548-75238048_SLC44A5
20522	chr1:75237548-75238048_TYW3
20517	chr1:76138406-76138906_SLC44A5
20525	chr1:76138406-76138906_RABGGTB
20523	chr1:76138406-76138906_TYW3
20521	chr1:76138406-76138906_ACADM
20519	chr1:76138406-76138906_CRYZ
20536	chr1:85084983-85085483_CYR61
20544	chr1:85084983-85085483_SAMD13
20548	chr1:85084983-85085483_SYDE2
20565	chr1:85084983-85085483_C1orf52
20558	chr1:85084983-85085483_SSX2IP
20571	chr1:85084983-85085483_GNG5
20526	chr1:85084983-85085483_CTBS
20575	chr1:85685836-85686336_ZNHIT6
20537	chr1:85685836-85686336_CYR61
20572	chr1:85685836-85686336_GNG5
20545	chr1:85685836-85686336_SAMD13
20555	chr1:85685836-85686336_RPF1
20566	chr1:85685836-85686336_C1orf52
20576	chr1:85690324-85691190_ZNHIT6
20550	chr1:85690324-85691190_SYDE2
20560	chr1:85690324-85691190_SSX2IP
20546	chr1:85690324-85691190_SAMD13
20528	chr1:85690324-85691190_CTBS
20539	chr1:85710393-85710893_CYR61
20577	chr1:85710393-85710893_ZNHIT6
20529	chr1:85710393-85710893_CTBS
20561	chr1:85710393-85710893_SSX2IP
20547	chr1:85710393-85710893_SAMD13
20574	chr1:85710393-85710893_GNG5
20551	chr1:85710393-85710893_SYDE2
20562	chr1:86078669-86079169_SSX2IP
20541	chr1:86094773-86095273_CYR61
20535	chr1:86094773-86095273_BCL10
20553	chr1:86094773-86095273_SYDE2
20563	chr1:86094773-86095273_SSX2IP
20584	chr1:86926614-86927114_ODF2L
20591	chr1:86926614-86927114_SH3GLB1
20585	chr1:86927200-86927700_ODF2L
20592	chr1:86927200-86927700_SH3GLB1
20600	chr1:86927200-86927700_LMO4
20597	chr1:87230681-87231181_SH3GLB1
20615	chr1:87239904-87240404_HS2ST1
20587	chr1:87241050-87241550_ODF2L
20613	chr1:87257864-87258364_HS2ST1
20616	chr1:87901120-87901620_HS2ST1
20602	chr1:88252470-88252970_LMO4
63759	chr1:88292238-88292738_PKN2
20601	chr1:88292238-88292738_LMO4
21070	chr1:90403772-90404272_LRRC8D
21071	chr1:90441043-90441543_LRRC8D
21068	chr1:90441043-90441543_LRRC8C
21072	chr1:91023627-91024127_LRRC8D
21061	chr1:91023627-91024127_LRRC8B
21132	chr1:91023627-91024127_CDC7
21125	chr1:91631599-91632099_ZNF644
21141	chr1:91631599-91632099_HFM1
21354	chr1:91631599-91632099_TGFBR3
21133	chr1:92021643-92022143_CDC7
21122	chr1:92021643-92022143_ZNF644
21350	chr1:92021643-92022143_TGFBR3
21138	chr1:92021643-92022143_HFM1
21134	chr1:92044218-92044718_CDC7
21344	chr1:92044218-92044718_RPAP2
21351	chr1:92044218-92044718_TGFBR3
21135	chr1:92056664-92057164_CDC7
21832	chr1:93270228-93270728_MTF2
21820	chr1:93270228-93270728_RPL5
21353	chr1:93270228-93270728_TGFBR3
21833	chr1:93456343-93456843_MTF2
21813	chr1:93456343-93456843_TMED5
21821	chr1:93456343-93456843_RPL5
21817	chr1:93456343-93456843_DR1
21359	chr1:93456343-93456843_GLMN
21805	chr1:93456343-93456843_BCAR3
21825	chr1:93456343-93456843_CCDC18
21809	chr1:93456343-93456843_EVI5
21830	chr1:93499212-93499712_FNBP1L
21818	chr1:93499212-93499712_DR1
21814	chr1:93499212-93499712_TMED5
21806	chr1:93499212-93499712_BCAR3
21807	chr1:93507870-93508370_BCAR3
21827	chr1:93507870-93508370_CCDC18
22299	chr1:93507870-93508370_GCLM
21349	chr1:93507870-93508370_RPAP2
21815	chr1:93507870-93508370_TMED5
22302	chr1:93507870-93508370_DNTTIP2
21831	chr1:93507870-93508370_FNBP1L
21819	chr1:93507870-93508370_DR1
65126	chr1:95550085-95550585_ALG14
65110	chr1:95550085-95550585_RWDD3
65118	chr1:95550085-95550585_TMEM56
65102	chr1:95550085-95550585_ABCD3
65121	chr1:95550916-95551416_TMEM56
65113	chr1:95550916-95551416_RWDD3
65129	chr1:95550916-95551416_ALG14
65125	chr1:95552635-95553135_ALG14
65101	chr1:95552635-95553135_ABCD3
65117	chr1:95552635-95553135_TMEM56
65123	chr1:95558796-95559296_TMEM56
65131	chr1:95558796-95559296_ALG14
65116	chr1:95560386-95560886_TMEM56
