	Significant
65683	0
65682	0
65684	0
64636	0
64640	0
64639	0
64638	0
64637	0
20459	0
20456	0
20448	0
20445	0
20454	0
20457	0
20460	0
20458	0
20452	0
20455	0
20449	0
63243	0
63251	0
63259	0
63267	0
63235	0
63227	0
63252	0
63228	0
63244	0
63245	0
63215	0
63261	0
63240	0
63232	0
63256	0
63224	0
63248	0
63264	0
63216	0
63246	0
63222	0
63262	0
63249	0
63257	0
63241	0
63225	0
63239	0
63247	0
63263	0
63231	1
63226	0
63258	0
63242	0
63250	0
63266	0
63630	0
63633	0
63637	0
63627	0
63631	0
63623	0
63622	1
63635	0
63632	0
63636	0
20518	0
20516	0
20522	0
20517	0
20525	0
20523	0
20521	0
20519	0
10698	0
10708	0
10710	0
10700	0
10702	0
10703	1
10711	0
10875	0
62996	0
63008	0
63020	0
63002	0
63015	0
63021	0
63004	0
63108	0
63000	0
63018	1
63109	0
63016	0
62998	0
63107	0
63110	0
9615	0
9642	0
9553	0
9762	0
9633	0
9771	0
9651	0
9571	0
9737	0
9728	0
9687	0
9535	0
9747	0
9697	0
9729	0
9661	0
9763	0
9679	0
9670	0
9772	0
9798	0
9616	0
9625	0
9554	0
9828	0
9598	0
9536	0
9813	0
9580	0
9643	0
9537	0
9707	0
9608	0
9680	0
9698	0
9689	0
9590	0
9546	0
9617	0
9748	0
9791	0
9635	0
9782	0
9799	0
9773	0
9814	0
9573	0
9644	0
9662	0
9555	0
9653	0
9800	0
9783	0
9774	0
9815	0
9731	0
9740	0
9717	0
9681	0
9672	0
9627	0
9565	0
9574	0
9793	0
9664	0
9766	0
9628	0
9816	0
9831	0
9801	0
9619	0
9575	0
9539	0
9673	0
9548	0
9610	0
9700	0
9592	0
9682	0
9601	0
9646	0
9718	0
9802	0
9629	1
9593	0
9892	0
9647	0
9710	0
9683	0
9674	0
9558	0
9767	0
9776	0
9576	0
9785	0
9777	0
9675	0
9734	0
9594	0
9541	0
9720	0
9693	0
9711	0
9786	0
9666	0
9612	0
9621	0
9568	0
9893	0
9768	0
10371	0
10381	0
9796	0
9604	0
9613	0
9622	0
9694	0
9631	0
9649	0
9703	0
9712	0
10382	0
9721	0
9894	0
9834	0
9685	0
9769	0
9804	0
9778	0
10362	0
9551	0
9586	0
9722	0
9713	0
9650	0
9820	0
9623	0
10393	0
9668	0
9543	0
9605	0
9805	0
9686	0
9770	0
9614	0
9806	0
9821	0
10384	0
9755	0
10394	0
10374	1
9756	0
9822	0
10375	0
10547	0
9725	0
10366	0
10548	0
9808	0
9838	0
10376	1
9757	0
10564	0
9839	0
9809	0
9758	0
10367	0
9726	0
10377	1
9824	0
9899	0
10565	0
9759	0
10550	0
10388	0
9840	0
10378	0
9825	0
10368	0
9826	0
10561	0
9901	0
10389	0
10567	0
10379	0
10399	0
10390	0
10552	0
9842	0
10370	0
10380	0
10400	0
10888	0
10885	0
10894	0
10879	0
10882	1
10877	0
10886	0
10880	0
10575	0
10570	0
10889	1
10896	0
10890	0
10887	0
10884	0
10576	0
10903	1
10905	0
10909	0
10897	0
10902	0
10898	0
10908	0
10906	0
10904	0
10998	0
11003	0
10999	0
10989	0
10995	0
11005	0
11000	1
10990	0
11001	0
10996	0
11006	0
10992	0
11002	0
10997	0
63682	0
63680	0
63683	0
11037	0
11034	0
11033	0
11036	0
11038	0
63725	0
11039	0
63722	0
63724	0
63720	0
63721	0
11139	0
11124	0
11146	0
11099	0
11133	0
11118	0
11109	0
11181	0
11100	0
11126	0
11148	0
11101	0
11119	0
11142	0
11111	0
11143	0
11137	0
11150	0
11121	0
11112	0
11184	0
11144	0
11138	0
11129	0
11105	0
11123	0
11153	0
11131	0
11188	0
11132	0
11116	0
11233	0
11237	0
11251	0
11232	0
11226	0
11231	0
11228	0
11277	0
11234	0
11201	0
11278	0
11202	1
11229	0
11214	0
11254	0
11203	0
11255	0
11279	0
11230	0
11215	0
11241	0
8464	0
11256	0
8465	0
11257	0
11269	0
11281	0
11282	0
11270	0
11243	0
11283	0
11271	0
11207	0
11244	0
11208	0
11284	0
8468	0
8484	0
11260	0
11272	0
11285	0
11273	0
8485	0
11261	0
11209	0
8469	0
11274	0
11262	0
8457	0
11286	0
8458	0
11263	0
11275	0
8471	0
11287	0
8459	0
8488	0
8472	0
11288	0
11276	0
8489	0
8473	1
8477	0
8451	0
8461	0
8474	0
8478	0
8479	0
8475	0
8491	0
8452	0
8495	0
8494	0
8493	0
8497	0
10738	0
10712	0
10713	0
10739	0
10815	0
10740	0
10725	0
10776	0
10789	0
10802	0
10790	0
10751	0
10816	0
10715	0
10741	0
10804	0
10727	0
10752	0
10742	0
10817	0
10791	0
10778	0
10717	0
10766	0
10743	0
10792	0
10818	0
10779	0
10718	0
10767	0
10729	0
10793	0
10820	0
10755	0
10745	0
10807	0
10795	0
10808	0
10821	0
10769	0
10796	0
10783	0
10747	0
10822	0
10809	0
10757	0
10830	0
10823	0
10835	0
10797	0
10840	0
10733	0
10758	0
10771	0
10734	0
10824	0
10749	0
10831	0
10798	0
10772	0
10846	0
10811	0
10785	0
10842	0
10825	0
10799	0
10786	0
10847	0
10760	0
10800	0
10787	0
10833	0
10858	0
10852	0
10864	0
10861	0
10873	0
10826	0
10874	0
10737	0
10865	0
10856	0
10859	0
10853	0
10788	0
10834	0
15139	0
15136	0
15129	0
15112	0
15140	0
15137	0
15134	0
15099	0
15105	0
15130	0
15109	0
15122	0
15113	0
15119	0
15100	0
15106	0
15150	0
15114	0
15117	0
15135	0
15127	0
15144	0
15111	0
15250	0
15153	0
15124	0
15107	0
15254	0
15128	0
15132	0
15249	0
15253	0
15248	0
15295	0
15315	0
15305	0
15269	0
15329	0
15282	0
15278	0
15321	0
15326	0
15316	0
15301	0
15306	1
15283	0
15287	0
15296	0
15291	0
15279	0
15280	0
15322	0
15288	0
15292	0
15312	0
15307	0
15284	0
15277	0
15272	0
15328	0
15298	0
15289	0
15293	0
15308	0
15294	0
15324	0
15304	0
15299	0
15552	0
15555	0
15564	0
15568	0
15574	0
15572	0
15578	0
15579	0
15571	0
15569	0
15575	0
12885	0
12881	0
12877	0
12882	0
12890	0
12866	0
12874	0
12887	0
12871	0
12888	0
12884	0
12868	0
12872	0
12930	0
12945	0
12902	0
12897	0
12950	0
12925	0
12898	0
12956	0
12931	0
12936	0
12932	0
12947	0
12904	0
12942	0
12937	0
12952	0
12909	0
12899	0
12948	0
12938	0
12933	0
12953	0
12905	0
12910	0
12943	0
12928	0
12915	0
12958	0
12939	0
12916	0
12906	0
12929	0
12911	0
12949	0
12990	0
12966	0
12978	0
63345	0
13002	0
63325	0
63315	0
12977	0
63344	0
63334	0
12965	0
63314	0
12962	0
12973	0
12919	0
63340	0
12997	0
12985	0
63330	0
12924	0
63346	0
12979	0
63326	0
12999	0
12964	0
12921	0
12987	0
63332	0
63312	0
12983	0
63338	0
12917	0
12998	0
63321	0
63341	0
63331	0
12974	0
12963	0
63329	0
63319	0
63339	0
12918	0
12961	0
63317	0
63337	0
13015	0
63343	0
13011	0
12968	0
12992	0
13012	0
13004	0
12981	0
13010	0
13006	0
13014	0
13017	0
13035	0
13031	0
13028	0
13021	0
13049	0
13018	0
13045	0
13056	0
13029	0
13032	0
13039	0
13043	0
13019	0
13057	0
13020	0
13044	0
13040	0
13033	0
13030	0
13023	0
13047	0
13051	0
13055	0
13058	0
13326	0
13041	0
13390	0
13382	0
13374	0
13314	0
13024	0
13320	0
13404	0
13338	0
13402	0
13410	0
13327	0
13333	0
13383	0
13351	0
13369	0
13357	0
13321	0
13363	0
13377	0
13417	0
13405	0
13397	0
13411	0
13412	0
13370	0
13398	0
13352	0
13413	0
13334	0
13442	0
13364	0
13406	0
13328	1
13392	0
13378	0
13316	0
13386	0
13433	0
13418	0
13443	0
13387	0
13393	0
13359	0
13341	0
13335	0
13371	0
13317	0
13419	0
13379	0
13372	0
13380	0
13336	0
13330	0
13435	0
13408	0
13348	0
13395	0
13436	0
13421	0
13389	0
13409	0
13331	0
13445	0
13437	0
13485	0
13503	0
13469	0
13522	0
13528	0
13492	0
13459	0
13438	0
